year,state,democratic,republican
2012,New Jersey,2122786,1478088
2012,New Mexico,415335,335788
2012,New York,4324228,2223397
2012,North Carolina,2178391,2270395
2012,North Dakota,124966,188320
2012,Ohio,2827621,2661407
2012,Oklahoma,443547,891325
2012,Oregon,970488,754175
2012,Pennsylvania,2990274,2680434
2012,Rhode Island,279677,157204
2012,South Carolina,865941,1071645
2012,South Dakota,145039,210610
2012,Tennessee,960709,1462330
2012,Texas,3308124,4569843
2012,Utah,251813,740600
2012,Vermont,199239,92698
2012,Virginia,1971820,1822522
2012,Washington,1755396,1290670
2012,West Virginia,238269,417655
2012,Wisconsin,1620985,1410966
2012,Wyoming,69286,170962
2016,Alabama,729547,1318255
2016,Alaska,116454,163387
2016,Arizona,1161167,1252401
2016,Arkansas,380494,684872
2016,California,8753788,4483810
2016,Colorado,1338870,1202484
2016,Connecticut,897572,673215
2016,Delaware,235603,185127
2016,District of Columbia,282830,12723
2016,Florida,4504975,4617886
2016,Georgia,1877963,2089104
2016,Hawaii,266891,128847
2016,Idaho,189765,409055
2016,Illinois,3090729,2146015
2016,Indiana,1033126,1557286
2016,Iowa,653669,800983
2016,Kansas,427005,671018
2016,Kentucky,628854,1202971
2016,Louisiana,780154,1178638
2016,Maine,357735,335593
2016,Maryland,1677928,943169
2016,Massachusetts,1995196,1090893
2016,Michigan,2268839,2279543
2016,Minnesota,1367705,1322949
2016,Mississippi,485131,700714
2016,Missouri,1071068,1594511
2016,Montana,177709,279240
2016,Nebraska,284494,495961
2016,Nevada,539260,512058
2016,New Hampshire,348526,345790
2016,New Jersey,2148278,1601933
2016,New Mexico,385234,319667
2016,New York,4379789,2527142
2016,North Carolina,2189316,2362631
2016,North Dakota,93758,216794
2016,Ohio,2394164,2841005
2016,Oklahoma,420375,949136
2016,Oregon,1002106,782403
2016,Pennsylvania,2926441,2970733
2016,Rhode Island,252525,180543
2016,South Carolina,855373,1155389
2016,South Dakota,117458,227721
2016,Tennessee,870695,1522925
2016,Texas,3877868,4685047
2016,Utah,310674,515211
2016,Vermont,178573,95369
2016,Virginia,1981473,1769443
2016,Washington,1742718,1221747
2016,West Virginia,188794,489371
2016,Wisconsin,1382536,1405284
2016,Wyoming,55973,174419
2020,Alabama,849624,1441170
2020,Alaska,153778,189951
2020,Arizona,1672143,1661686
2020,Arkansas,423932,760647
2020,California,11110250,6006429
2020,Colorado,1804352,1364607
2020,Connecticut,1080831,714717
2020,Delaware,296268,200603
2020,District of Columbia,317323,18586
2020,Florida,5297045,5668731
2020,Georgia,2473633,2461854
2020,Hawaii,366130,196864
2020,Idaho,287021,554119
2020,Illinois,3471915,2446891
2020,Indiana,1242416,1729519
2020,Iowa,759061,897672
2020,Kansas,570323,771406
2020,Kentucky,772474,1326646
2020,Louisiana,856034,1255776
2020,Maine,435072,360737
2020,Maryland,1985023,976414
2020,Massachusetts,2382202,1167202
2020,Michigan,2804040,2649852
2020,Minnesota,1717077,1484065
2020,Mississippi,539398,756764
2020,Missouri,1253014,1718736
2020,Montana,244786,343602
2020,Nebraska,374583,556846
2020,Nevada,703486,669890
2020,New Hampshire,424921,365654
2020,New Jersey,2608335,1883274
2020,New Mexico,501614,401894
2020,New York,5230985,3244798
2020,North Carolina,2684292,2758773
2020,North Dakota,114902,235595
2020,Ohio,2679165,3154834
2020,Oklahoma,503890,1020280
2020,Oregon,1340383,958448
2020,Pennsylvania,3458229,3377674
2020,Rhode Island,307486,199922
2020,South Carolina,1091541,1385103
2020,South Dakota,150471,261043
2020,Tennessee,1143711,1852475
2020,Texas,5259126,5890347
2020,Utah,560282,865140
2020,Vermont,242820,112704
2020,Virginia,2413568,1962430
2020,Washington,2369612,1584651
2020,West Virginia,235984,545382
2020,Wisconsin,1630866,1610184
2020,Wyoming,73491,193559
